DewPointTempF,DRYBULBTEMPF,RelativeHumidity,StationPressure,VISIBILITY,WETBULBTEMPF,WindDirection,WindSpeed
37,46,71,30.01,10,42,300,10
37,46,71,30.03,10,42,300,10
37,45,74,30.04,10,41,290,8
36,43,76,30.03,10,40,0,0
36,39,89,30.03,10,38,260,6
37,41,86,30.06,10,39,270,10
36,40,86,30.08,10,38,260,6
35,38,89,30.08,10,37,0,0
39,44,83,30.09,10,42,230,5
39,46,77,30.09,10,43,220,5
38,48,68,30.04,10,43,180,5
38,49,66,30.01,10,44,190,8
38,50,63,29.96,10,44,180,14
39,50,66,29.91,10,45,180,17
39,49,69,29.88,10,44,180,24
40,49,71,29.85,10,45,180,25
42,48,80,29.85,10,45,180,14
43,48,83,29.8,10,46,170,13
45,50,83,29.8,10,48,200,15
46,49,90,29.75,10,48,190,14
46,49,90,29.7,7,48,190,21
46,50,86,29.67,10,48,180,16
45,49,86,29.69,10,47,250,13
43,50,77,29.67,10,47,270,16
41,49,74,29.65,10,45,280,14
29,46,51,29.67,10,39,280,26
28,44,53,29.7,10,38,280,13
25,43,49,29.7,10,36,280,23
24,42,49,29.69,10,35,280,21
19,40,43,29.7,10,32,280,21
18,39,43,29.72,10,32,290,25
13,37,37,29.75,10,29,280,17
17,38,43,29.77,10,31,270,17
16,39,39,29.78,10,31,270,26
16,40,38,29.75,10,32,280,22
16,41,36,29.74,10,32,280,18
17,42,36,29.72,10,33,270,22
17,43,35,29.72,10,34,260,20
15,41,35,29.72,10,32,280,22
14,40,35,29.74,10,31,270,18
14,39,36,29.75,10,31,270,18
16,38,41,29.78,10,31,260,22
16,37,42,29.8,10,30,260,22
17,37,44,29.8,10,30,260,22
18,36,48,29.8,10,30,270,14
18,35,50,29.82,10,29,260,15
19,34,54,29.8,10,29,280,14
20,33,58,29.8,10,29,290,15
19,33,56,29.8,10,28,280,13
20,32,61,29.8,10,28,280,11
20,31,64,29.8,10,27,290,13
19,31,61,29.8,10,27,290,10
18,30,61,29.8,10,26,290,11
12,30,47,29.83,10,25,300,17
12,29,49,29.85,10,24,310,14
9,28,44,29.87,10,23,310,15
10,29,45,29.88,10,23,320,23
